#He	V	#exp(-EHe)
48	23	1.1333413154667387E-02
49	23	7.0834089290521185E-03
50	23	1.0567204383852655E-02
51	23	9.3722695270060576E-03
52	23	9.8527960611872571E-03
53	23	9.8527960611872571E-03
54	23	1.0152858373369763E-02
55	23	1.7774329953659442E-02
56	23	7.9070540515934415E-03
57	23	1.0462058943426803E-02
58	23	1.4264233908999256E-02
59	23	1.2155178329914935E-02
60	23	1.0998460175806881E-02
61	23	8.0667871390996144E-03
62	23	1.6082878822588433E-02
63	23	1.2400729220443406E-02
64	23	1.2778387649535761E-02
65	23	1.4846368338086832E-02
66	23	1.3704925297364945E-02
67	23	1.2906812580479873E-02
68	23	1.5146284873046980E-02
69	23	1.3167547490079751E-02
70	23	1.6572675401761255E-02
71	23	2.2595601851121864E-02
72	23	1.3433549594245314E-02
73	23	1.6407774526292645E-02
74	23	1.7952964939502866E-02
75	23	2.1279736438377168E-02
76	23	1.6082878822588433E-02
77	23	2.0445346037937653E-02
78	23	1.7774329953659442E-02
79	23	1.9254701775386920E-02
80	23	2.2148178957037315E-02
81	23	1.2034232284723775E-02
82	23	2.4477523271652670E-02
83	23	1.2906812580479873E-02
84	23	2.9896914436926322E-02
85	23	1.2155178329914935E-02
86	23	1.8685639337732773E-02
87	23	2.1709615629848571E-02
88	23	2.0650825181712566E-02
89	23	1.6407774526292645E-02
90	23	1.7952964939502866E-02
91	23	2.1067999523041434E-02
92	23	1.8499714119819242E-02
93	23	2.4972002042276155E-02
94	23	2.1279736438377168E-02
95	23	2.0040501061684014E-02
96	23	1.8873433135151486E-02
97	23	2.1067999523041434E-02
98	23	2.5732512726359940E-02
99	23	3.3708676899572396E-02
100	23	1.6407774526292645E-02
101	23	2.8155853680300106E-02
102	23	2.4477523271652670E-02
103	23	2.9896914436926322E-02
104	23	1.9254701775386920E-02
105	23	2.5991128778755347E-02
106	23	6.1421213915000127E-02
107	23	1.3842662086479501E-02
108	23	3.1429762018367710E-02
109	23	5.5023220056407231E-02
110	23	1.4552390548416123E-02
111	23	4.2425741080511385E-02
112	23	4.0762203978366211E-02
113	23	1.3568559012200934E-02
114	23	3.8006427075174314E-02
115	23	3.5436957721598640E-02
116	23	2.3992835836709175E-02
117	23	1.5452260123909515E-02
118	23	3.8774207831722009E-02
119	23	3.7253849396215809E-02
120	23	1.8499714119819242E-02
121	23	1.7422374639493515E-02
0	24	0.000E+000
1	24	2.1122532717327142E-03
2	24	2.1122532717327142E-03
3	24	2.1122532717327142E-03
4	24	2.1122532717327142E-03
5	24	2.1122532717327142E-03
6	24	2.1122532717327142E-03
7	24	2.0912360005151103E-03
8	24	2.1122532717327142E-03
9	24	2.1122532717327142E-03
10	24	2.1122532717327142E-03
11	24	2.1549236182976149E-03
12	24	2.1765809607151255E-03
13	24	2.2428677194858034E-03
14	24	2.3344008875291352E-03
15	24	2.2428677194858034E-03
16	24	2.4787521766663585E-03
17	24	2.1334817700377081E-03
18	24	2.4296695950245975E-03
19	24	2.3578620064902329E-03
20	24	2.3578620064902329E-03
21	24	2.6058405184084983E-03
22	24	2.5288262922292556E-03
23	24	2.3815589136168707E-03
24	24	2.6320296510131984E-03
25	24	3.7725655187922052E-03
26	24	3.5528684062213619E-03
27	24	3.7725655187922052E-03
28	24	3.6246411089657558E-03
29	24	4.1278441742554359E-03
30	24	3.8487763976105429E-03
31	24	4.2535557448151254E-03
32	24	3.9659890890910649E-03
33	24	5.2475183991813846E-03
34	24	4.3394832707388947E-03
35	24	5.2475183991813846E-03
36	24	4.7958707102964213E-03
37	24	6.2824201408011177E-03
38	24	5.1953047187052312E-03
39	24	6.2824201408011177E-03
40	24	6.3455595129091160E-03
41	24	5.2475183991813846E-03
42	24	6.5388105705490637E-03
43	24	6.8056644922305431E-03
44	24	8.2297470490200302E-03
45	24	6.9431480347461145E-03
46	24	7.0834089290521185E-03
47	24	9.0952771016958155E-03
48	24	8.9151785484395535E-03
49	24	9.9518183078484198E-03
50	24	6.7379469990854670E-03
51	24	9.9518183078484198E-03
52	24	1.1447315850505711E-02
53	24	7.8283775492257734E-03
54	24	1.0152858373369763E-02
55	24	8.7386461854732905E-03
56	24	8.3959989674914706E-03
57	24	1.4995576820477703E-02
58	24	1.1220643809589084E-02
59	24	1.0051835744633586E-02
60	24	1.0254896296404022E-02
61	24	1.1678566970395442E-02
62	24	9.7547591023429032E-03
63	24	1.1562363287468536E-02
64	24	1.2778387649535761E-02
65	24	1.7597472415623393E-02
66	24	1.0567204383852655E-02
67	24	1.3981783153338308E-02
68	24	1.5452260123909515E-02
69	24	1.3842662086479501E-02
70	24	1.1447315850505711E-02
71	24	1.3299883542443767E-02
72	24	1.2651240568005305E-02
73	24	1.4407591843112350E-02
74	24	2.0241911445804391E-02
75	24	1.3167547490079751E-02
76	24	1.7077388507484793E-02
77	24	2.1709615629848571E-02
78	24	1.2906812580479873E-02
79	24	3.0500872171217483E-02
80	24	1.6407774526292645E-02
81	24	1.7249019115346279E-02
82	24	2.5991128778755347E-02
83	24	9.7547591023429032E-03
84	24	2.1927800894261620E-02
85	24	1.9063114291611637E-02
86	24	1.7077388507484793E-02
87	24	2.1493601345089923E-02
88	24	1.7422374639493515E-02
89	24	2.0858369425214716E-02
90	24	1.7774329953659442E-02
91	24	1.9254701775386920E-02
92	24	1.8873433135151486E-02
93	24	1.9254701775386920E-02
94	24	1.5146284873046980E-02
95	24	2.9896914436926322E-02
96	24	1.5298507566725518E-02
97	24	1.8315638888734179E-02
98	24	2.3754103131304997E-02
99	24	2.6516184408894181E-02
100	24	1.6907465652705279E-02
101	24	2.4723526470339388E-02
102	24	2.0445346037937653E-02
103	24	1.9643672553065292E-02
104	24	2.7323722447292559E-02
105	24	2.5991128778755347E-02
106	24	2.4723526470339388E-02
107	24	3.1745636378067939E-02
108	24	2.0650825181712566E-02
109	24	3.9163895098987066E-02
110	24	1.8315638888734179E-02
111	24	2.3992835836709175E-02
112	24	1.0126646185388340E-01
113	24	8.6516952031206341E-03
114	24	3.5084354100845025E-02
115	24	3.7253849396215809E-02
116	24	1.9448214745385391E-02
117	24	2.9013327082197053E-02
118	24	2.2822691425092981E-02
119	24	4.8315638126067789E-02
120	24	1.3842662086479501E-02
121	24	3.3708676899572396E-02
122	24	1.5452260123909515E-02
123	24	6.3927861206707570E-02
124	24	2.2370771856165601E-02
125	24	3.4047454734599344E-02
126	24	1.4698644504901784E-02
127	24	3.2712434939019819E-02
128	24	2.5732512726359940E-02
129	24	3.0500872171217483E-02
130	24	1.3433549594245314E-02
0	25	0.000E+000
1	25	2.1122532717327142E-03
2	25	2.1122532717327142E-03
3	25	2.1122532717327142E-03
4	25	2.1122532717327142E-03
5	25	2.0912360005151103E-03
6	25	2.1122532717327142E-03
7	25	2.0912360005151103E-03
8	25	2.1122532717327142E-03
9	25	2.1122532717327142E-03
10	25	2.1122532717327142E-03
11	25	2.1122532717327142E-03
12	25	2.1549236182976149E-03
13	25	2.1765809607151255E-03
14	25	2.4054939786195095E-03
15	25	2.0912360005151103E-03
16	25	2.4054939786195095E-03
17	25	2.3111732106021292E-03
18	25	2.1765809607151255E-03
19	25	2.5288262922292556E-03
20	25	2.3815589136168707E-03
21	25	2.3578620064902329E-03
22	25	2.4540881804139170E-03
23	25	2.5036640502020999E-03
24	25	2.2881766529221693E-03
25	25	2.5542414189929983E-03
26	25	3.5885753273319477E-03
27	25	3.4825168982116632E-03
28	25	3.7350278646880674E-03
29	25	3.6978637164829320E-03
30	25	3.7725655187922052E-03
31	25	3.8874572434761303E-03
32	25	4.0867714384640666E-03
33	25	4.3394832707388947E-03
34	25	4.0867714384640666E-03
35	25	4.3394832707388947E-03
36	25	5.1953047187052312E-03
37	25	4.8927537252394758E-03
38	25	5.3535253026599028E-03
39	25	6.0967465655156379E-03
40	25	4.9915939069102170E-03
41	25	5.4073291264409599E-03
42	25	5.7994047268421414E-03
43	25	7.6733652878954893E-03
44	25	5.7416996856542021E-03
45	25	6.8056644922305431E-03
46	25	7.2991308467885829E-03
47	25	7.2991308467885829E-03
48	25	6.8056644922305431E-03
49	25	7.6733652878954893E-03
50	25	8.6516952031206341E-03
51	25	8.6516952031206341E-03
52	25	8.0667871390996144E-03
53	25	9.5616019305435045E-03
54	25	8.6516952031206341E-03
55	25	8.8264710397267226E-03
56	25	9.5616019305435045E-03
57	25	8.1478596976799888E-03
58	25	1.4264233908999256E-02
59	25	8.6516952031206341E-03
60	25	9.6576976275377768E-03
61	25	1.0998460175806881E-02
62	25	1.0780676072743084E-02
63	25	1.3981783153338308E-02
64	25	9.0952771016958155E-03
65	25	9.8527960611872571E-03
66	25	1.4122302410163962E-02
67	25	1.1220643809589084E-02
68	25	1.4122302410163962E-02
69	25	1.2277339903068436E-02
70	25	1.4122302410163962E-02
71	25	1.7422374639493515E-02
72	25	1.2155178329914935E-02
73	25	1.7952964939502866E-02
74	25	1.1333413154667387E-02
75	25	1.4552390548416123E-02
76	25	1.4698644504901784E-02
77	25	1.3981783153338308E-02
78	25	1.7952964939502866E-02
79	25	1.6907465652705279E-02
80	25	1.6907465652705279E-02
81	25	1.8315638888734179E-02
82	25	1.4264233908999256E-02
83	25	1.7422374639493515E-02
84	25	2.5732512726359940E-02
85	25	1.0357959717613696E-02
86	25	1.5607557919982831E-02
87	25	2.0040501061684014E-02
88	25	1.8499714119819242E-02
89	25	2.2148178957037315E-02
90	25	1.5607557919982831E-02
91	25	1.8499714119819242E-02
92	25	1.9254701775386920E-02
93	25	2.0650825181712566E-02
94	25	1.6739233558580632E-02
95	25	1.8873433135151486E-02
96	25	1.9063114291611637E-02
97	25	2.3052063287225571E-02
98	25	1.7597472415623393E-02
99	25	2.3754103131304997E-02
100	25	1.7597472415623393E-02
101	25	1.7774329953659442E-02
102	25	2.2595601851121864E-02
103	25	2.2822691425092981E-02
104	25	2.6516184408894181E-02
105	25	2.5732512726359940E-02
106	25	4.3717797252750941E-02
107	25	9.9518183078484198E-03
108	25	2.7051846866350416E-02
109	25	2.0241911445804391E-02
110	25	2.4723526470339388E-02
111	25	5.8425665964500828E-02
112	25	1.1678566970395442E-02
113	25	2.2148178957037315E-02
114	25	3.5084354100845025E-02
115	25	2.0040501061684014E-02
116	25	5.9605942708939368E-02
117	25	1.0152858373369763E-02
118	25	2.7598330423249287E-02
119	25	3.9163895098987066E-02
120	25	2.4233967845691113E-02
121	25	3.7253849396215809E-02
122	25	2.7051846866350416E-02
123	25	1.9448214745385391E-02
124	25	3.8006427075174314E-02
125	25	3.2064685327860769E-02
126	25	3.0500872171217483E-02
127	25	1.7774329953659442E-02
128	25	3.0500872171217483E-02
129	25	2.4723526470339388E-02
130	25	3.2386940772907040E-02
131	25	2.8438824714184505E-02
132	25	3.2064685327860769E-02
0	26	0.000E+000
1	26	2.1122532717327142E-03
2	26	2.1122532717327142E-03
3	26	2.1122532717327142E-03
4	26	2.1122532717327142E-03
5	26	2.1122532717327142E-03
6	26	2.1122532717327142E-03
7	26	2.1122532717327142E-03
8	26	2.0912360005151103E-03
9	26	2.1122532717327142E-03
10	26	2.0912360005151103E-03
11	26	2.1122532717327142E-03
12	26	2.1765809607151255E-03
13	26	2.1122532717327142E-03
14	26	2.1765809607151255E-03
15	26	2.1549236182976149E-03
16	26	2.3578620064902329E-03
17	26	2.2654089148143220E-03
18	26	2.2428677194858034E-03
19	26	2.2654089148143220E-03
20	26	2.3344008875291352E-03
21	26	2.1549236182976149E-03
22	26	2.6320296510131984E-03
23	26	2.1122532717327142E-03
24	26	2.5288262922292556E-03
25	26	2.4540881804139170E-03
26	26	2.3815589136168707E-03
27	26	3.6610693577310053E-03
28	26	3.5885753273319477E-03
29	26	3.5175167749121284E-03
30	26	3.4825168982116632E-03
31	26	3.7350278646880674E-03
32	26	3.5885753273319477E-03
33	26	3.6246411089657558E-03
34	26	4.5165809426126659E-03
35	26	4.5165809426126659E-03
36	26	4.1693296979041115E-03
37	26	4.2112321579970352E-03
38	26	5.5165644207607716E-03
39	26	5.7994047268421414E-03
40	26	5.7416996856542021E-03
41	26	4.8440700122489673E-03
42	26	5.8576897133356225E-03
43	26	6.3455595129091160E-03
44	26	4.7481509994114776E-03
45	26	5.3535253026599028E-03
46	26	6.8056644922305431E-03
47	26	6.4093334462563831E-03
48	26	6.6709033062552743E-03
49	26	6.8056644922305431E-03
50	26	7.6733652878954893E-03
51	26	8.9151785484395535E-03
52	26	6.6709033062552743E-03
53	26	7.2991308467885829E-03
54	26	8.9151785484395535E-03
55	26	1.0051835744633586E-02
56	26	7.4465830709243381E-03
57	26	1.0567204383852655E-02
58	26	8.8264710397267226E-03
59	26	9.2790138870647437E-03
60	26	9.4664624017103231E-03
61	26	8.2297470490200302E-03
62	26	1.0780676072743084E-02
63	26	1.0357959717613696E-02
64	26	1.3433549594245314E-02
65	26	9.0047775824365593E-03
66	26	1.1220643809589084E-02
67	26	1.9063114291611637E-02
68	26	9.2790138870647437E-03
69	26	1.2155178329914935E-02
70	26	1.2651240568005305E-02
71	26	1.1562363287468536E-02
72	26	1.5146284873046980E-02
73	26	1.0051835744633586E-02
74	26	1.4122302410163962E-02
75	26	1.1795938519751562E-02
76	26	1.8685639337732773E-02
77	26	1.3299883542443767E-02
78	26	1.5764416484854486E-02
79	26	2.0040501061684014E-02
80	26	9.1866861562446642E-03
81	26	1.9254701775386920E-02
82	26	1.3981783153338308E-02
83	26	2.0040501061684014E-02
84	26	1.8499714119819242E-02
85	26	1.5298507566725518E-02
86	26	2.2148178957037315E-02
87	26	1.2778387649535761E-02
88	26	1.8499714119819242E-02
89	26	1.7597472415623393E-02
90	26	1.4407591843112350E-02
91	26	1.6407774526292645E-02
92	26	1.8133395236801075E-02
93	26	2.0241911445804391E-02
94	26	1.4846368338086832E-02
95	26	1.6739233558580632E-02
96	26	2.0241911445804391E-02
97	26	1.6082878822588433E-02
98	26	1.9448214745385391E-02
99	26	1.7422374639493515E-02
100	26	2.1067999523041434E-02
101	26	2.3283740374897010E-02
102	26	1.7597472415623393E-02
103	26	2.5732512726359940E-02
104	26	2.0040501061684014E-02
105	26	2.0445346037937653E-02
106	26	2.2595601851121864E-02
107	26	2.9013327082197053E-02
108	26	2.0241911445804391E-02
109	26	2.0040501061684014E-02
110	26	3.4735258944738563E-02
111	26	3.3041200375886932E-02
112	26	1.5607557919982831E-02
113	26	4.3717797252750941E-02
114	26	1.4846368338086832E-02
115	26	2.6782676492638175E-02
116	26	2.6252343965687961E-02
117	26	1.7249019115346279E-02
118	26	2.2370771856165601E-02
119	26	5.0287436723591865E-02
120	26	1.5607557919982831E-02
121	26	1.8499714119819242E-02
122	26	6.0204992392373542E-02
123	26	1.6739233558580632E-02
124	26	2.4723526470339388E-02
125	26	2.9896914436926322E-02
126	26	3.6516173753740402E-02
127	26	3.0500872171217483E-02
128	26	1.8499714119819242E-02
129	26	3.4735258944738563E-02
130	26	2.3992835836709175E-02
131	26	2.6252343965687961E-02
132	26	2.4477523271652670E-02
133	26	1.3299883542443767E-02
134	26	4.9787068367863944E-02
135	26	3.7253849396215809E-02
136	26	2.2595601851121864E-02
137	26	2.9304915867040759E-02
138	26	2.9896914436926322E-02
139	26	3.9163895098987066E-02
0	27	0.000E+000
1	27	2.1122532717327142E-03
2	27	2.1122532717327142E-03
3	27	2.1122532717327142E-03
4	27	2.1122532717327142E-03
5	27	2.1122532717327142E-03
6	27	2.1122532717327142E-03
7	27	2.1122532717327142E-03
8	27	2.1122532717327142E-03
9	27	2.1122532717327142E-03
10	27	2.1122532717327142E-03
11	27	2.1122532717327142E-03
12	27	2.1122532717327142E-03
13	27	2.1334817700377081E-03
14	27	2.2205508127982939E-03
15	27	2.1984559630425313E-03
16	27	2.1549236182976149E-03
17	27	2.2428677194858034E-03
18	27	2.2881766529221693E-03
19	27	2.3815589136168707E-03
20	27	2.1122532717327142E-03
21	27	2.2881766529221693E-03
22	27	2.4054939786195095E-03
23	27	2.4787521766663585E-03
24	27	2.3815589136168707E-03
25	27	2.1984559630425313E-03
26	27	2.5799119720271799E-03
27	27	2.2654089148143220E-03
28	27	3.4478652761031265E-03
29	27	3.5528684062213619E-03
30	27	3.4478652761031265E-03
31	27	3.6978637164829320E-03
32	27	3.8104804325920370E-03
33	27	3.6610693577310053E-03
34	27	3.4478652761031265E-03
35	27	4.2112321579970352E-03
36	27	3.4478652761031265E-03
37	27	4.6078219299927519E-03
38	27	4.3394832707388947E-03
39	27	4.6541313102832719E-03
40	27	4.7958707102964213E-03
41	27	5.1436105730303834E-03
42	27	4.9915939069102170E-03
43	27	5.4073291264409599E-03
44	27	5.6845688192195950E-03
45	27	4.8927537252394758E-03
46	27	6.4737483182894049E-03
47	27	5.5165644207607716E-03
48	27	5.8576897133356225E-03
49	27	7.4465830709243381E-03
50	27	6.8740625574962482E-03
51	27	6.5388105705490637E-03
52	27	6.7379469990854670E-03
53	27	7.7504838911366921E-03
54	27	7.2991308467885829E-03
55	27	9.2790138870647437E-03
56	27	8.4803801599532685E-03
57	27	8.8264710397267226E-03
58	27	8.0667871390996144E-03
59	27	9.1866861562446642E-03
60	27	1.0889023668554451E-02
61	27	8.6516952031206341E-03
62	27	7.7504838911366921E-03
63	27	1.8133395236801075E-02
64	27	4.6078219299927519E-03
65	27	1.0889023668554451E-02
66	27	1.2400729220443406E-02
67	27	9.7547591023429032E-03
68	27	8.8264710397267226E-03
69	27	1.1333413154667387E-02
70	27	1.1678566970395442E-02
71	27	1.3433549594245314E-02
72	27	1.3704925297364945E-02
73	27	1.7774329953659442E-02
74	27	7.9070540515934415E-03
75	27	1.7422374639493515E-02
76	27	1.3167547490079751E-02
77	27	9.0952771016958155E-03
78	27	1.7597472415623393E-02
79	27	1.7422374639493515E-02
80	27	1.3842662086479501E-02
81	27	1.3568559012200934E-02
82	27	1.3704925297364945E-02
83	27	1.4122302410163962E-02
84	27	1.5146284873046980E-02
85	27	2.2822691425092981E-02
86	27	1.1795938519751562E-02
87	27	1.4995576820477703E-02
88	27	1.7077388507484793E-02
89	27	2.4477523271652670E-02
90	27	9.7547591023429032E-03
91	27	1.6739233558580632E-02
92	27	1.7249019115346279E-02
93	27	1.9841094744370288E-02
94	27	1.6407774526292645E-02
95	27	1.6244514441949871E-02
96	27	1.5922851504511698E-02
97	27	1.6407774526292645E-02
98	27	1.8873433135151486E-02
99	27	1.8873433135151486E-02
100	27	1.4995576820477703E-02
101	27	1.7597472415623393E-02
102	27	2.0858369425214716E-02
103	27	1.8499714119819242E-02
104	27	1.5764416484854486E-02
105	27	1.9643672553065292E-02
106	27	3.0500872171217483E-02
107	27	1.8873433135151486E-02
108	27	2.4233967845691113E-02
109	27	2.8724639654239433E-02
110	27	2.1279736438377168E-02
111	27	1.7952964939502866E-02
112	27	2.4233967845691113E-02
113	27	2.8438824714184505E-02
114	27	3.0500872171217483E-02
115	27	1.7774329953659442E-02
116	27	2.9013327082197053E-02
117	27	2.8438824714184505E-02
118	27	3.8388398017552075E-02
119	27	2.2595601851121864E-02
120	27	1.2906812580479873E-02
121	27	2.7051846866350416E-02
122	27	1.9063114291611637E-02
123	27	2.7051846866350416E-02
124	27	2.1067999523041434E-02
125	27	2.5732512726359940E-02
126	27	2.4233967845691113E-02
127	27	3.6883167401240015E-02
128	27	2.8155853680300106E-02
129	27	2.3992835836709175E-02
130	27	3.5084354100845025E-02
131	27	2.0858369425214716E-02
132	27	1.7952964939502866E-02
133	27	5.6134762834133725E-02
134	27	2.1927800894261620E-02
135	27	2.5222974835227212E-02
136	27	1.5764416484854486E-02
137	27	3.3708676899572396E-02
138	27	1.1220643809589084E-02
139	27	1.3167547490079751E-02
0	28	0.000E+000
1	28	2.1122532717327142E-03
2	28	2.1122532717327142E-03
3	28	2.1122532717327142E-03
4	28	2.1122532717327142E-03
5	28	2.1122532717327142E-03
6	28	2.1122532717327142E-03
7	28	2.1122532717327142E-03
8	28	2.0912360005151103E-03
9	28	2.1122532717327142E-03
10	28	2.1122532717327142E-03
11	28	2.1122532717327142E-03
12	28	2.1334817700377081E-03
13	28	2.0912360005151103E-03
14	28	2.1984559630425313E-03
15	28	2.1549236182976149E-03
16	28	2.1765809607151255E-03
17	28	2.2654089148143220E-03
18	28	2.2428677194858034E-03
19	28	2.3344008875291352E-03
20	28	2.5036640502020999E-03
21	28	2.0704278546402606E-03
22	28	2.3344008875291352E-03
23	28	2.2205508127982939E-03
24	28	2.4540881804139170E-03
25	28	2.1122532717327142E-03
26	28	2.5542414189929983E-03
27	28	2.5036640502020999E-03
28	28	2.6320296510131984E-03
29	28	3.6246411089657558E-03
30	28	3.3126725448998926E-03
31	28	3.7350278646880674E-03
32	28	3.5175167749121284E-03
33	28	3.2797109023435730E-03
34	28	3.6610693577310053E-03
35	28	3.4825168982116632E-03
36	28	4.2112321579970352E-03
37	28	3.4825168982116632E-03
38	28	4.3830958026687761E-03
39	28	4.5165809426126659E-03
40	28	4.5165809426126659E-03
41	28	4.8440700122489673E-03
42	28	4.9915939069102170E-03
43	28	5.5165644207607716E-03
44	28	6.8740625574962482E-03
45	28	3.6978637164829320E-03
46	28	5.7416996856542021E-03
47	28	4.9915939069102170E-03
48	28	7.8283775492257734E-03
49	28	4.2963046907523398E-03
50	28	6.4737483182894049E-03
51	28	7.0129278325854246E-03
52	28	6.9431480347461145E-03
53	28	6.9431480347461145E-03
54	28	7.4465830709243381E-03
55	28	8.8264710397267226E-03
56	28	6.4737483182894049E-03
57	28	7.9070540515934415E-03
58	28	8.1478596976799888E-03
59	28	9.0952771016958155E-03
60	28	9.0952771016958155E-03
61	28	1.0780676072743084E-02
62	28	6.3455595129091160E-03
63	28	1.0254896296404022E-02
64	28	9.0952771016958155E-03
65	28	9.0952771016958155E-03
66	28	8.8264710397267226E-03
67	28	9.8527960611872571E-03
68	28	9.7547591023429032E-03
69	28	8.7386461854732905E-03
70	28	1.1678566970395442E-02
71	28	1.1108996538242306E-02
72	28	1.1447315850505711E-02
73	28	1.3433549594245314E-02
74	28	1.5452260123909515E-02
75	28	1.3842662086479501E-02
76	28	1.0780676072743084E-02
77	28	1.5298507566725518E-02
78	28	9.1866861562446642E-03
79	28	1.7249019115346279E-02
80	28	1.1678566970395442E-02
81	28	1.3704925297364945E-02
82	28	2.2370771856165601E-02
83	28	1.0357959717613696E-02
84	28	1.4698644504901784E-02
85	28	1.5922851504511698E-02
86	28	1.1108996538242306E-02
87	28	1.8315638888734179E-02
88	28	1.4122302410163962E-02
89	28	1.0780676072743084E-02
90	28	2.5222974835227212E-02
91	28	1.4995576820477703E-02
92	28	1.7077388507484793E-02
93	28	1.4407591843112350E-02
94	28	1.5452260123909515E-02
95	28	1.7422374639493515E-02
96	28	1.5452260123909515E-02
97	28	1.7952964939502866E-02
98	28	1.5922851504511698E-02
99	28	1.4552390548416123E-02
100	28	1.9254701775386920E-02
101	28	1.7952964939502866E-02
102	28	1.3981783153338308E-02
103	28	2.4233967845691113E-02
104	28	2.1927800894261620E-02
105	28	1.3981783153338308E-02
106	28	1.6244514441949871E-02
107	28	1.7774329953659442E-02
108	28	1.7774329953659442E-02
109	28	2.7051846866350416E-02
110	28	2.3283740374897010E-02
111	28	2.2822691425092981E-02
112	28	1.8315638888734179E-02
113	28	2.9599435167891999E-02
114	28	2.4723526470339388E-02
115	28	1.7422374639493515E-02
116	28	2.7323722447292559E-02
117	28	1.9063114291611637E-02
118	28	2.7875698255247015E-02
119	28	1.8685639337732773E-02
120	28	3.4389637343472709E-02
121	28	2.2148178957037315E-02
122	28	3.2386940772907040E-02
123	28	2.2822691425092981E-02
124	28	3.3373269960326080E-02
125	28	2.2595601851121864E-02
126	28	1.0254896296404022E-02
127	28	3.4735258944738563E-02
128	28	3.2386940772907040E-02
129	28	1.5764416484854486E-02
130	28	2.4233967845691113E-02
131	28	4.2425741080511385E-02
132	28	2.2822691425092981E-02
133	28	1.8873433135151486E-02
134	28	2.0241911445804391E-02
135	28	2.7323722447292559E-02
136	28	3.8388398017552075E-02
137	28	1.6907465652705279E-02
138	28	2.8438824714184505E-02
139	28	2.5222974835227212E-02
140	28	3.4735258944738563E-02
141	28	3.3708676899572396E-02
142	28	1.7249019115346279E-02
143	28	3.4389637343472709E-02
144	28	1.3299883542443767E-02
145	28	1.7952964939502866E-02
0	29	0.000E+000
1	29	2.1122532717327142E-03
2	29	2.1122532717327142E-03
3	29	2.1122532717327142E-03
4	29	2.1122532717327142E-03
5	29	2.0912360005151103E-03
6	29	2.1122532717327142E-03
7	29	2.1122532717327142E-03
8	29	2.0912360005151103E-03
9	29	2.0912360005151103E-03
10	29	2.1122532717327142E-03
11	29	2.1334817700377081E-03
12	29	2.0912360005151103E-03
13	29	2.1334817700377081E-03
14	29	2.0912360005151103E-03
15	29	2.1765809607151255E-03
16	29	2.2428677194858034E-03
17	29	2.1765809607151255E-03
18	29	2.2428677194858034E-03
19	29	2.2881766529221693E-03
20	29	2.2205508127982939E-03
21	29	2.4540881804139170E-03
22	29	2.2428677194858034E-03
23	29	2.4054939786195095E-03
24	29	2.2881766529221693E-03
25	29	2.4540881804139170E-03
26	29	2.2881766529221693E-03
27	29	2.3111732106021292E-03
28	29	2.2654089148143220E-03
29	29	2.5036640502020999E-03
30	29	3.3459654574712720E-03
31	29	3.3126725448998926E-03
32	29	3.5175167749121284E-03
33	29	3.3459654574712720E-03
34	29	3.8487763976105429E-03
35	29	3.3795929693767124E-03
36	29	3.6978637164829320E-03
37	29	3.6978637164829320E-03
38	29	4.2112321579970352E-03
39	29	4.2535557448151254E-03
40	29	3.5885753273319477E-03
41	29	4.6541313102832719E-03
42	29	3.9659890890910649E-03
43	29	5.2475183991813846E-03
44	29	4.7958707102964213E-03
45	29	5.7416996856542021E-03
46	29	4.6078219299927519E-03
47	29	5.3535253026599028E-03
48	29	6.8056644922305431E-03
49	29	5.4073291264409599E-03
50	29	5.3535253026599028E-03
51	29	5.8576897133356225E-03
52	29	5.6280064144040654E-03
53	29	7.4465830709243381E-03
54	29	6.2824201408011177E-03
55	29	8.9151785484395535E-03
56	29	6.2199090159425728E-03
57	29	8.7386461854732905E-03
58	29	6.8056644922305431E-03
59	29	9.3722695270060576E-03
60	29	6.6045267093148112E-03
61	29	1.1447315850505711E-02
62	29	6.9431480347461145E-03
63	29	8.0667871390996144E-03
64	29	7.0129278325854246E-03
65	29	1.3433549594245314E-02
66	29	8.9151785484395535E-03
67	29	9.4664624017103231E-03
68	29	7.2265032813764625E-03
69	29	1.3568559012200934E-02
70	29	7.0834089290521185E-03
71	29	7.2265032813764625E-03
72	29	1.0254896296404022E-02
73	29	1.1795938519751562E-02
74	29	1.2525358621074385E-02
75	29	1.1914489672789647E-02
76	29	1.3981783153338308E-02
77	29	1.3842662086479501E-02
78	29	1.0254896296404022E-02
79	29	2.2595601851121864E-02
80	29	1.0780676072743084E-02
81	29	1.3568559012200934E-02
82	29	1.1795938519751562E-02
83	29	1.0780676072743084E-02
84	29	1.0357959717613696E-02
85	29	1.6572675401761255E-02
86	29	1.5298507566725518E-02
87	29	1.4995576820477703E-02
88	29	1.4407591843112350E-02
89	29	1.1333413154667387E-02
90	29	2.0040501061684014E-02
91	29	1.2400729220443406E-02
92	29	1.7077388507484793E-02
93	29	1.4552390548416123E-02
94	29	1.9643672553065292E-02
95	29	1.3433549594245314E-02
96	29	1.8315638888734179E-02
97	29	1.2400729220443406E-02
98	29	1.3433549594245314E-02
99	29	2.9304915867040759E-02
100	29	9.1866861562446642E-03
101	29	2.4477523271652670E-02
102	29	1.5452260123909515E-02
103	29	1.4846368338086832E-02
104	29	1.7952964939502866E-02
105	29	1.5607557919982831E-02
106	29	1.4846368338086832E-02
107	29	1.8685639337732773E-02
108	29	2.2370771856165601E-02
109	29	1.6907465652705279E-02
110	29	1.9063114291611637E-02
